--- ZNALEZIONE MOŻLIWE TRASY ---
[ OK ], CYSTERNA_B1b_OUT , CYSTERNA_B1b_IN ,(Liczba segmentów: 2)
[ OK ], BIALA_OUT , CYSTERNA_B12c_IN ,(Liczba segmentów: 2)
[ OK ], CYSTERNA_B12c_OUT , CYSTERNA_B12c_IN ,(Liczba segmentów: 2)
[ OK ], B12c_OUT , CYSTERNA_B12c_IN ,(Liczba segmentów: 3)
[ OK ], BIALA_OUT , B12c_IN ,(Liczba segmentów: 3)
[ OK ], CYSTERNA_B12c_OUT , B12c_IN ,(Liczba segmentów: 3)
[ OK ], B8b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R2_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R3_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R4_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R5_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R6_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R7_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R8_IN ,(Liczba segmentów: 4)
[ OK ], B8b_OUT , R9_IN ,(Liczba segmentów: 4)
[ OK ], B11c_OUT , CYSTERNA_B12c_IN ,(Liczba segmentów: 4)
[ OK ], B12c_OUT , B12c_IN ,(Liczba segmentów: 4)
[ OK ], BIALA_OUT , B11c_IN ,(Liczba segmentów: 4)
[ OK ], CYSTERNA_B12c_OUT , B11c_IN ,(Liczba segmentów: 4)
[ OK ], R3_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R2_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R3_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R4_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R5_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R6_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R7_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R8_IN ,(Liczba segmentów: 5)
[ OK ], R3_OUT , R9_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R2_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R3_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R4_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R5_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R6_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R7_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R8_IN ,(Liczba segmentów: 5)
[ OK ], R6_OUT , R9_IN ,(Liczba segmentów: 5)
[ OK ], R7_OUT , R6_IN ,(Liczba segmentów: 5)
[ OK ], R7_OUT , R7_IN ,(Liczba segmentów: 5)
[ OK ], R7_OUT , R8_IN ,(Liczba segmentów: 5)
[ OK ], R7_OUT , R9_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R2_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R3_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R4_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R5_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R6_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R7_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R8_IN ,(Liczba segmentów: 5)
[ OK ], R9_OUT , R9_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R2_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R3_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R4_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R5_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R6_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R7_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R8_IN ,(Liczba segmentów: 5)
[ OK ], B7b_OUT , R9_IN ,(Liczba segmentów: 5)
[ OK ], B8b_OUT , B8b_IN ,(Liczba segmentów: 5)
[ OK ], B9b_OUT , B9b_IN ,(Liczba segmentów: 5)
[ OK ], B8c_OUT , B8c_IN ,(Liczba segmentów: 5)
[ OK ], B8c_OUT , B9c_IN ,(Liczba segmentów: 5)
[ OK ], B9c_OUT , B8c_IN ,(Liczba segmentów: 5)
[ OK ], B9c_OUT , B9c_IN ,(Liczba segmentów: 5)
[ OK ], B10c_OUT , CYSTERNA_B12c_IN ,(Liczba segmentów: 5)
[ OK ], B11c_OUT , B12c_IN ,(Liczba segmentów: 5)
[ OK ], B12c_OUT , B11c_IN ,(Liczba segmentów: 5)
[ OK ], BIALA_OUT , B10c_IN ,(Liczba segmentów: 5)
