Tony,CM
1,262
2,263
3,265
4,259
5,256
6,253
7,249
8,246
9,242
10,239
11,236
12,232
13,229
14,226
15,223
16,220
17,217
18,214
19,211
20,209
21,206
22,203
23,200
24,197
25,194
26,192
27,189
28,186
29,184
30,181
31,178
32,176
33,174
34,172
35,169
36,166
37,164
38,161
39,158
40,155
41,153
42,151
43,148
44,146
45,143
46,141
47,138
48,136
49,133
50,130
51,128
52,125
53,123
54,120
55,118
56,115
57,112
58,110
59,107
60,105
61,102
62,99
63,96
64,94
65,91
66,89
67,86
68,83
69,80
70,78
71,74
72,72
73,69
74,66
75,63
76,60
77,56
78,53
78.400000000000006,52
