Tony,CM
1,255,263
2,251,259
3,262,255
4,259,251
5,256,247
6,253,243
7,249,239
8,246,235
9,242,231
10,239,227
11,236,223
12,232,219
13,229,215
14,226,211
15,223,207
16,220,203
17,199,199
18,195,195
19,211,
20,209,
21,206,
22,203,
23,200,
24,197,
25,194,
26,192,
27,189,
28,186,
29,184,
30,181,
31,178,
32,176,
33,174,
34,172,
35,169,
36,166,
37,164,
38,161,
39,158,
40,155,
41,153,
42,151,
43,148,
44,146,
45,143,
46,141,
47,138,
48,136,
49,133,
50,130,
51,128,
52,125,
53,123,
54,120,
55,118,
56,115,
57,112,
58,110,
59,107,
60,105,
61,102,
62,99,
63,96,
64,94,
65,91,
66,89,
67,86,
68,83,
69,80,
70,78,
71,74,
72,72,
73,69,
74,66,
75,63,
76,60,
77,56,
78,53,
78.400000000000006,52
